F1_Score,Accuracy,TPR,TNR,FPR,FNR,Total_Transactions,Transactions_Day,Aggregated_Transactions,Reviewed_Transactions_Total,Reviewed_Transactions_Day,Daysf
0.6133865075725647,0.9912614458335076,0.5455250496451426,0.9320325203252032,0.0679674796747967,0.45447495035485747,580361,580361.0,8222,172,172,2019-01-01
0.6962547780566783,0.9937492160388008,0.6540585065104714,0.951382113821138,0.0486178861788617,0.34594149348952863,1093241,512880.0,16221,341,169,2019-01-02
0.8069558719587991,0.9963415144039804,0.7927561451950079,0.9731357676503676,0.0268642323496323,0.20724385480499205,1578541,485300.0,24178,524,183,2019-01-03
0.8143167296429356,0.9966132876196848,0.8054934203981379,0.9750904835682576,0.0249095164317423,0.19450657960186213,2030939,452398.0,32083,708,184,2019-01-06
0.8149525447483238,0.9965714763557302,0.8058143069665512,0.9746061750959036,0.0253938249040961,0.19418569303344876,2585983,555044.0,40213,891,183,2019-01-07
0.8142721315142767,0.9966969101475938,0.8028059815071739,0.9752635744113588,0.0247364255886412,0.19719401849282614,3061188,475205.0,40966,1061,170,2019-01-08
0.8169886572061181,0.9966550988836392,0.808769912652603,0.9750974763796476,0.0249025236203524,0.19123008734739702,3673911,612723.0,41985,1260,199,2019-01-09
0.8161572933422837,0.9965923819877076,0.8143742831948022,0.9758825132641692,0.0241174867358306,0.1856257168051977,4086281,412370.0,42862,1451,191,2019-01-10
0.8267236338210062,0.9969895889952752,0.8245384142423077,0.977858207616229,0.0221417923837709,0.17546158575769222,4601952,515671.0,43842,1647,196,2019-01-13
0.8234986850295173,0.9968223439394572,0.8136441035869054,0.9763982893877776,0.0236017106122223,0.1863558964130945,5189824,587872.0,44777,1828,181,2019-01-14
0.8237871132598243,0.9969477777313208,0.8227210496555216,0.9775330043641964,0.0224669956358034,0.17727895034447835,5652459,462635.0,45203,2022,194,2019-01-15
0.8507722252145639,0.9971568340510932,0.8356838974246598,0.978999915404038,0.0210000845959621,0.1643161025753402,6254336,601877.0,45636,2205,183,2019-01-16
0.8775982514325023,0.9972613622109796,0.8481666176183108,0.979812923534119,0.0201870764658808,0.1518333823816891,6775813,521477.0,46136,2378,173,2019-01-17
0.8873026021385434,0.9975540410586612,0.8612929956777751,0.982248451518668,0.0177515484813319,0.1387070043222249,7114579,338766.0,46494,2568,190,2019-01-20
0.8763548938576678,0.9974077016348204,0.8525701086681048,0.980951134916233,0.019048865083767,0.14742989133189513,7632417,517838.0,46867,2755,187,2019-01-21
0.8925682730123007,0.9975540410586612,0.8617260385452113,0.9819302410780254,0.0180697589219745,0.13827396145478868,8151162,518745.0,47086,2930,175,2019-01-22
0.8634066775647735,0.9972822678429568,0.8418946259997262,0.979816419939814,0.0201835800601859,0.15810537400027383,8641599,490437.0,47284,3108,178,2019-01-23
0.8596186926117183,0.9972613622109796,0.8391659461314043,0.9794947130934764,0.0205052869065235,0.16083405386859584,9086633,445034.0,47526,3296,188,2019-01-24
0.8879681962169367,0.997533135426684,0.8596506282724197,0.9819267446723304,0.0180732553276694,0.14034937172758025,9586692,500059.0,47808,3479,183,2019-01-27
0.8869917275606918,0.9975540410586612,0.8597997715618603,0.9820893462983468,0.0179106537016532,0.1402002284381397,10166378,579686.0,48034,3671,192,2019-01-28
0.9003066278150818,0.997700380482502,0.871232859616584,0.9835457445703364,0.0164542554296634,0.128767140383416,10582475,416097.0,48138,3856,185,2019-01-29
0.882868011090665,0.997470418530752,0.8575680968619551,0.9819162201290956,0.0180837798709043,0.1424319031380448,11015570,433095.0,48237,4034,178,2019-01-30
0.8971007351610255,0.9976585692185476,0.8700087615497725,0.9835387399835632,0.0164612600164366,0.12999123845022761,11503153,487583.0,48369,4212,178,2019-01-31
0.9114039682230204,0.9978885311702972,0.8818181960341641,0.9850091709798662,0.0149908290201337,0.11818180396583579,11926014,422861.0,48520,4391,179,2019-02-03
0.9202338005988177,0.9980139649621608,0.8910153728410602,0.9861438741809018,0.0138561258190982,0.10898462715893982,12292653,366639.0,48601,4571,180,2019-02-04
0.9076786407405676,0.9978049086423882,0.8790788344593329,0.9846769631410606,0.0153230368589395,0.12092116554066719,12804890,512237.0,48678,4750,179,2019-02-05
0.9332424581361092,0.9982230212819332,0.9046765750268526,0.9877698904410644,0.0122301095589356,0.09532342497314748,13218817,413927.0,48734,4935,185,2019-02-06
0.9200039195785914,0.9979721536982062,0.8893694448668684,0.9858186709288692,0.0141813290711307,0.11063055513313168,13736258,517441.0,48823,5116,181,2019-02-07
0.9327128897980388,0.998202115649956,0.9036725589625956,0.987607288815048,0.0123927111849518,0.0963274410374045,14231073,494815.0,48919,5290,174,2019-02-10
0.9242436120094832,0.9980766818580926,0.8941132780013773,0.9864725738386292,0.0135274261613707,0.10588672199862266,14747341,516268.0,49000,5468,178,2019-02-11
0.9130571344621384,0.99786762553832,0.8835392992693927,0.9851647680191092,0.0148352319808907,0.11646070073060731,15278782,531441.0,49065,5644,176,2019-02-12
0.9230292888053112,0.9980139649621608,0.8941025962948679,0.986462072846161,0.0135379271538389,0.10589740370513208,15874637,595855.0,49125,5827,183,2019-02-13
0.9357233785516064,0.998202115649956,0.9071218865707252,0.9879254874803074,0.0120745125196925,0.09287811342927456,16402990,528353.0,49182,6014,187,2019-02-14
0.9276325519141094,0.998118493122047,0.897207622592858,0.9867977770906616,0.0132022229093382,0.10279237740714199,16912014,509024.0,49247,6193,179,2019-02-17
0.9312014193606764,0.9981393987540244,0.9012282007203066,0.9872785773819373,0.0127214226180626,0.09877179927969341,17325882,413868.0,49295,6379,186,2019-02-18
